win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
14.2,25.6,Speedy Claxton,334,2000,20,9.3,0.08,-0.7,2.8,PHI,hofstra,7,8548,3096,Player,speedy-claxton-1,hofstra,hofstra,Speedy Claxton,0,660,33,0.49,0.468,0.48,0.748,119,71,2975.0,2015,288,0.322,65.0,566,0.545,16.0,264.0,0.201,8.873949579831933,0.4436974789915966,27.09243697478992,3.872268907563025,0.8739495798319328,7.610084033613446,3.549579831932773
0.0,0.0,Michael Wright,0,2001,39,0.0,0.0,0.0,0.0,NYK,arizona,0,0,0,Bust,michael-wright-1,arizona,arizona,Michael Wright,1,40,28,0.575,0.575,0.635,0.749,99,79,2494.9002375296914,1491,52,0.167,1.0,832,0.625,12.7,63.0,0.181833531510107,0.6413082078120402,0.44891574546842816,23.9047634461938,0.8337006701556524,0.016032705195301006,13.339210722490439,1.0100604273039635
20.1,24.7,Bobby Simmons,466,2001,42,9.0,0.084,-0.1,5.4,SEA,depaul,10,11513,4189,Player,bobby-simmons-1,depaul,depaul,Bobby Simmons,0,207,17,0.493,0.428,0.456,0.783,93,79,2939.0,1263,124,0.331,121.0,700,0.552,17.1,236.0,0.151,2.8172847907451515,0.23137121469887717,17.18952024498129,1.687648860156516,1.6468186457978904,9.52705001701259,3.21197686287853
0.0,8.7,Jamison Brewer,54,2001,41,1.6,-0.001,-4.4,-0.3,IND,auburn,4,468,89,Player,jamison-brewer-1,auburn,auburn,Jamison Brewer,1,236,3,0.481,0.456,0.559,0.527,58,76,1347.0,328,63,0.22,13.0,273,0.496,27.5,125.0,0.113,7.008166295471417,0.08908685968819599,9.740163325909428,1.8708240534521159,0.38604305864884925,8.106904231625835,3.711952487008166
19.2,22.2,Earl Watson,878,2001,40,6.4,0.047,-1.8,1.0,SEA,ucla,13,19494,5593,Player,earl-watson-1,ucla,ucla,Earl Watson,1,607,49,0.508,0.45,0.372,0.654,129,73,3314.0,1449,235,0.341,133.0,484,0.535,22.6,337.0,0.131,7.326493663246831,0.5914302957151478,17.489438744719372,2.836451418225709,1.6053108026554015,5.84188292094146,4.067592033796017
-0.1,9.7,Omar Cook,22,2001,32,1.7,-0.021,-6.1,-0.2,ORL,st. john's,2,213,37,Bust,omar-cook-1,st johns ny,st,Omar Cook,1,252,5,0.446,0.36,0.327,0.742,29,73,1107.0,445,66,0.309,68.0,88,0.491,24.6,148.0,0.115,9.105691056910569,0.18066847335140018,16.079494128274618,2.3848238482384825,2.4570912375790424,3.1797651309846433,5.347786811201445
-0.2,8.7,Jeff Trepagnier,31,2001,36,2.8,-0.038,-4.8,-0.2,CLE,usc,3,270,88,Player,jeff-trepagnier-1,southern california,usc,Jeff Trepagnier,1,152,105,0.504,0.471,0.34,0.659,106,76,2439.0,1128,204,0.298,61.0,546,0.531,15.0,159.0,0.151,2.4928249282492825,1.7220172201722017,18.49938499384994,3.3456334563345633,1.000410004100041,8.954489544895448,2.607626076260763
7.6,13.0,Brian Scalabrine,520,2001,35,3.1,0.054000000000000006,-2.6,-1.1,NJN,usc,11,6772,1594,Player,brian-scalabrine-1,southern california,usc,Brian Scalabrine,1,249,81,0.535,0.513,0.427,0.77,92,81,3037.0,1441,89,0.343,46.0,560,0.582,20.1,312.0,0.171,3.2795521896608495,1.0668422785643727,18.97925584458347,1.1722094171880144,0.60586104708594,7.375699703654922,4.1093184063220285
1.0,13.9,Terence Morris,139,2001,34,3.4,0.025,-3.6,-0.8,ATL,maryland,3,1934,472,Player,terence-morris-1,maryland,maryland,Terence Morris,1,229,256,0.534,0.495,0.339,0.78,136,81,3095.0,1733,162,0.338,101.0,925,0.574,14.8,228.0,0.238,2.959612277867528,3.308562197092084,22.397415185783522,2.0936995153473346,1.3053311793214863,11.954765751211632,2.9466882067851374
0.0,13.8,Will Solomon,115,2001,33,5.1,0.0,-4.7,-1.1,MEM,clemson,2,1584,584,Bust,will-solomon-1,clemson,clemson,Will Solomon,1,246,40,0.482,0.392,0.326,0.717,94,73,2739.0,1431,112,0.366,214.0,259,0.519,19.0,323.0,0.107,3.592552026286966,0.5841548010222709,20.89813800657174,1.6356334428623585,3.1252281854691493,3.782402336619204,4.717050018254837
0.0,0.0,Eric Chenowith,0,2001,43,0.0,0.0,0.0,0.0,NYK,kansas,0,0,0,Bust,eric-chenowith-1,kansas,kansas,Eric Chenowith,1,125,242,0.454,0.454,0.425,0.723,139,85,3106.0,1281,69,0.1,1.0,933,0.506,17.7,273.0,0.194,1.6097875080489377,3.1165486155827433,16.49710238248551,0.8886027044430135,0.0128783000643915,12.01545396007727,3.515775917578879
-0.7,9.0,Damone Brown,39,2001,37,2.8,-0.1,-10.3,-0.7,PHI,syracuse,4,351,108,Player,damone-brown-1,syracuse,syracuse,Damone Brown,1,125,96,0.508,0.497,0.315,0.742,113,81,2864.0,1230,118,0.225,20.0,683,0.543,12.5,157.0,0.178,1.7458100558659218,1.3407821229050279,17.17877094972067,1.6480446927374302,0.27932960893854747,9.539106145251397,2.1927374301675977
0.0,0.0,Kyle Hill,0,2001,44,0.0,0.0,0.0,0.0,DAL,eastern illinois university,0,0,0,Bust,kyle-hill-1,eastern illinois,eastern,Kyle Hill,0,310,50,0.538,0.463,0.283,0.762,98,74,2494.9002375296914,1819,162,0.391,211.0,422,0.569,12.7,89.0,0.181833531510107,4.970138610543312,0.8016352597650505,29.163490750252535,2.597298241638763,3.3829007962085127,6.765801592417025,1.4269107623817898
0.0,0.0,Bryan Bracey,0,2001,58,0.0,0.0,0.0,0.0,SAS,oregon,0,0,0,Bust,bryan-bracey-1,oregon,oregon,Bryan Bracey,1,39,16,0.557,0.518,0.484,0.76,58,79,2494.9002375296914,766,47,0.426,40.0,309,0.602,14.5,74.0,0.181833531510107,0.6252755026167394,0.2565232831248161,12.281052179600572,0.7535371441791473,0.6413082078120402,4.954105905348011,1.1864201844522746
3.1,11.3,Loren Woods,215,2001,46,2.6,0.062,-2.9,-0.6,MIN,arizona,6,2428,555,Player,loren-woods-1,arizona,arizona,Loren Woods,1,135,281,0.494,0.493,0.541,0.745,107,85,2224.0,1188,55,0.222,2.0,697,0.553,15.4,158.0,0.261,2.4280575539568345,5.053956834532373,21.366906474820144,0.9892086330935251,0.03597122302158273,12.535971223021583,2.841726618705036
0.0,9.8,Ken Johnson,16,2001,49,2.0,-0.002,-10.0,-0.3,MIA,ohio state,1,156,32,Bust,ken-johnson-2,ohio state,michigan,Ken Johnson,1,58,444,0.54,0.54,0.459,0.63,127,83,2752.0,1055,37,0.3291618569636134,0.0,739,0.562,16.5,147.0,0.251,0.8430232558139534,6.453488372093023,15.334302325581394,0.5377906976744186,0.0,10.741279069767442,2.136627906976744
0.2,6.3,Ruben Boumtje-Boumtje,44,2001,50,1.0,0.027000000000000003,-4.5,-0.2,POR,georgetown,3,276,43,Player,ruben-boumtje-boumtje-1,georgetown,georgetown,Ruben Boumtje-Boumtje,1,91,255,0.485,0.485,0.599,0.664,101,84,2383.0,973,82,0.0,0.0,710,0.533,22.5,258.0,0.259,1.5274863617289132,4.280318925723877,16.332354175409147,1.3764162819974821,0.0,11.917750734368443,4.330675618967687
